age,gender,height_cm,weight_kg,bodyFat_,gripForce,sitAndBendForward_cm,situpsCounts,broadJump_cm
27,M,168.9,70.2,25.3,44.5,7.6,57,194
39,F,160.6,54.8,28.7,27.9,19.3,32,155
40,M,174,61.6,15.1,39.6,17.4,54,235
27,F,162.2,48.3,14.1,17.7,15.2,25,172
36,F,168.6,59.1,31.4,21.4,21.6,13,154
49,M,167.6,68.22,22.6,42,12.3,43,211
21,M,163.3,63.4,19.2,40.4,11.3,59,238
52,M,172.3,72.9,21.7,41.7,16.9,46,191
21,M,167.6,55.2,9.6,35.4,16.4,57,242
48,F,167,61.4,18.6,26.1,24.4,41,178
24,M,179.7,73.8,15.4,55.8,19.2,50,234
59,M,165.2,67.62,20.1,38.6,15.8,35,195
56,F,166.6,61.3,24.3,33.2,26.1,26,157
38,M,176.7,67.7,22.4,42.4,7.7,38,195
51,F,156.6,47.7,18.6,23.9,19.9,26,135
21,M,178.6,65.1,12.2,40.7,21.2,52,265
52,F,160.4,56.7,29.7,27.7,22.4,19,106
22,F,158,53.8,30.1,17.8,5.8,22,115
57,F,156.2,53,26.7,27.3,20.1,33,156
35,M,181,78.5,15.4,45.5,-1.5,62,267
22,M,175.9,70.9,16.3,43,8.4,53,251
56,M,171,76.5,25.7,39.4,10.5,45,179
42,F,164.2,64.5,26.8,27,20.6,35,164
55,F,155.6,58,31.8,25.2,23.3,21,143
50,F,160.8,62.5,30.9,27,15.2,15,141
32,M,168.7,73.3,20.2,48.3,21.5,51,246
31,M,174.2,76.9,17.8,52.5,7.1,53,230
62,F,150.3,51.4,25.6,21.3,18.3,8,115
24,M,168,65.2,21.4,44.2,15.5,55,214
25,M,174,70.2,14.6,49.6,22,69,267
29,F,163.1,54.1,21.3,27.6,25.9,61,202
23,M,174.3,71.8,18.3,37.9,-1.9,51,243
60,F,161,54.1,33.5,19.8,11.6,3,157
48,F,158,48,25.6,21.8,20,23,130
54,F,160.9,58.7,30.8,26.3,23,23,117
44,M,167.1,57.9,24.8,22.5,16.3,24,170
24,F,166.4,53.7,31.2,24.3,11.8,14,132
64,F,156.7,56.4,32.1,19,19.8,19,132
23,F,167.7,58.2,26.2,26.98,22.6,66,191
24,F,166.8,58.5,23,29.6,23.1,57,185
33,M,170.3,70.1,22.3,45.9,9.3,45,222
49,F,162.2,56,25,31.9,18.2,30,180
64,F,151.6,71.6,45.9,20,13.6,0,57
37,M,178.5,61.3,7,44.2,11,43,225
45,M,172.8,69.48,20.9,41.7,4,46,224
23,F,161.5,59.2,30,28.9,22.9,48,183
23,M,182,85.9,12.8,43.7,20.4,44,244
23,F,163.9,52.4,23.8,27.5,29,44,125
21,F,168.7,56.4,24.2,32.7,17.2,27,195
28,M,178.5,81.4,26.7,54.4,22.9,50,229
40,M,174.2,77.1,25.8,36.5,18.8,33,214
21,F,157.6,53.1,24.8,27.8,25.3,59,193
21,F,164.3,52.1,20.8,25.7,25,44,182
25,M,178.8,74.5,21.5,35.3,25.5,36,218
43,M,174.3,72.7,24.6,43.9,14.7,46,211
24,M,176.2,73.16,17,43.5,15.6,56,246
26,M,169.4,71.2,18.4,42.9,15.1,52,237
26,F,156,64.3,32.3,34.9,25.5,49,182
29,F,157.8,57.4,27.2,28.1,23.1,42,181
38,F,162.1,64.1,20.8,30,17.8,41,210
28,M,175.6,77.8,13.7,56.2,12,54,179
60,M,166.4,69.8,21.8,42.8,22.9,27,192
33,M,180.6,80.9,13.6,46.6,20.9,57,230
60,M,166.5,60.9,22.5,37.3,17.4,42,205
49,M,170.8,71.5,22.6,41.5,14,30,214
38,F,159.8,69.5,35.3,28.1,17.3,30,161
26,F,167.7,63.4,27.6,34.5,17.3,36,182
21,F,161.9,62.4,33.5,28.3,23.7,36,167
60,F,160.6,59.18,31,26.7,21.8,15,141
55,M,170.9,70.8,26.1,41,12,32,180
29,M,171.8,67.16,21.7,32.7,13.2,35,200
21,M,173.6,84.3,24.9,48.1,23.6,60,250
25,M,164.6,92.5,32.2,44.5,14.2,36,222
29,M,170,69.7,23.2,39.6,14.1,57,223
57,F,161,50.02,15,22.3,20.5,38,153
21,M,169.9,65.44,23.1,36.7,-1.6,45,183
21,F,165.6,68,35.8,21.2,10.1,33,154
34,M,169.5,70.9,18.1,55,16.4,48,244
46,F,162,63.2,25.9,23.3,0.7,12,138
54,M,171.9,91.7,36.6,46.1,8.6,30,158
38,M,174.4,72.68,21.1,56.8,17,45,205
23,F,162.1,48.2,25.1,23.9,7.8,37,171
21,M,176.4,66.2,8.3,40.9,21.8,57,198
22,M,176.6,80.5,13.8,40.6,-6.1,53,270
37,M,169.9,85.2,34.1,34.3,2.2,18,205
49,M,172,65.6,14.6,45.9,20,30,192
27,M,165.4,65,24.5,36.5,10.2,46,179
23,F,164.2,54.2,17.4,29.5,31.2,55,153
21,M,169.4,64.2,16.4,42,16.4,55,225
26,F,161.2,47,18.5,24.5,25.4,42,168
34,M,178,116.3,36,56.7,-1.8,31,179
41,F,161.8,57.3,27.4,25.7,19.4,31,160
26,F,170.9,55.4,22.3,25,21.7,27,164
35,M,175.7,82.9,23.8,50.9,4.8,33,232
36,M,168.3,64.5,15.6,46.8,20.5,47,226
27,M,171.9,94.7,37.5,42.1,-4.6,41,184
23,M,171.1,70.8,10.8,53.5,7.6,60,238
22,M,181.8,77,15,36.8,-11.6,64,212
61,M,170.3,67.1,23.1,32.6,14.9,34,177
43,F,171.4,65.6,27.6,28.7,23.2,26,147
25,M,174.2,63,12.6,47.5,15.1,52,219
37,M,179.5,84.6,20.9,59.1,13.7,43,227
57,M,164.6,64.2,25,42.9,16.4,39,192
30,F,165.8,53.4,15.7,34,15.8,37,154
21,M,182.9,68.1,11.4,43.3,20.1,64,243
35,M,168.4,71.9,19.1,53.6,16.2,42,232
54,M,173.4,56.9,15.9,46,7.5,44,181
22,F,175.5,73.7,35.5,27.5,11.3,30,160
60,M,168.7,73.2,17.3,39.1,9.1,30,181
23,F,154.3,49,25.7,25.2,24.3,43,168
33,M,175.3,74.2,17.6,43.5,19.2,44,237
25,M,175.1,68.2,17.3,34.5,6.7,46,203
36,M,176.7,88,28.6,44.5,11.1,52,166
26,M,163.3,64.2,23.2,32.2,6.1,50,198
56,M,168.6,68,17.6,44.3,20,41,178
29,F,167.8,63.5,28.3,22.7,26.5,44,133
37,M,175,76.3,18.6,42,18,46,240
58,M,168.5,80,24.3,36.4,14.5,5,133
22,F,158.5,53,26,25.9,21.7,34,172
44,M,177.4,69.9,9.5,42.4,-15,39,222
33,F,157.7,53.9,28.5,27.5,16.8,52,160
25,F,161.7,54.4,26.7,22.5,15.8,26,146
24,M,163,62.4,14.2,48,19.5,65,236
22,M,166.9,90.3,31.4,42.6,2.9,57,194
25,M,162.8,70.1,27.8,36.3,8.4,55,221
25,M,179,82.6,20.8,52.4,22,59,235
29,F,161.8,63.2,29.6,35.2,26.8,56,224
21,F,161.5,57.2,32.3,29.4,12.6,40,157
31,F,163,53.6,30.5,27.1,29.9,42,219
62,M,181.3,93.4,27.1,39.6,16.2,23,133
57,M,168.5,53.3,21.1,32.3,10.3,25,162
52,F,156.1,52.3,35.7,25.7,-7.6,10,134
22,M,174.5,73.2,17.1,60.3,7.6,53,204
37,F,155.3,45.22,25.7,21.6,15.6,44,181
38,F,162.7,54,25.2,24.8,21.8,33,166
64,M,162.8,58.5,14.6,31.2,19.7,45,203
38,M,182.5,72.7,17.1,39.4,21.8,59,227
55,F,149,52.7,36.4,22.3,16.5,1,93
29,F,167.2,54.4,30,20.1,14.8,0,115
32,F,154.4,55.8,32.2,26.1,23.2,35,163
28,M,171.5,69.6,24.2,36.2,6.6,43,220
25,M,168.6,65.6,18.9,47.1,12.9,60,202
43,M,173,69,16.1,41.6,9.5,45,199
63,F,153.2,56,42,23.7,23.8,0,103
24,M,170.1,71.8,18.6,51.4,15,59,252
21,F,164,59,24.9,30.1,21.4,53,211
37,F,154.7,44.4,21.7,22.5,21.5,34,169
29,M,168.3,56.4,14.4,42.4,2.5,45,215
34,F,168.3,58.1,17.9,28.8,20.6,32,138
22,M,183.3,82.22,12,44.9,19.9,48,231
26,F,164.1,53.5,16.8,29.8,23.7,36,180
34,F,152,46.6,22.4,21.2,26.6,24,157
51,F,160.3,56.4,28.4,21.1,22.5,38,134
25,M,170.1,59.6,21.2,39.6,5,44,205
57,F,154.4,52.9,25.3,30.3,24.9,48,162
46,M,172,61,20.4,36.9,0,27,130
44,M,177.2,70.6,16.7,45.1,18.3,52,233
21,F,165.5,54.72,19.9,31.5,19.3,37,188
27,M,168.6,81.5,20.3,43.1,18.3,67,226
41,F,162.1,54.5,32.8,21.7,12.5,33,145
25,F,157.4,56.8,24.6,26.7,22.7,54,175
21,F,162.7,49.72,21.1,21.3,22.7,49,179
22,M,175.4,64.1,17,31.1,9.7,60,211
31,M,167.5,70.4,18.3,46.4,18.8,55,243
23,M,169.5,74,24.8,46.1,18.4,46,222
21,F,167.2,77.9,34.7,36,21.8,33,169
35,M,179.1,91.6,23.5,48,12.8,38,213
26,M,176,70.6,15.6,49.2,-6.1,47,246
56,F,152.3,46.9,25.4,14.6,14,14,124
40,M,175.1,68.58,13,46.8,17.9,52,228
21,M,175.8,71.24,16,38.3,18.1,47,227
27,M,172.6,71.9,19.5,48.7,19.1,55,223
61,M,163.9,59.4,24.6,18.9,12.5,19,157
45,M,167.4,67.46,15.8,40.4,13.6,38,219
25,F,152,49.5,27.5,28,22,56,173
35,M,171.3,77.2,10.8,56,25,48,228
25,F,168.1,53.6,15.1,30.9,23.8,46,204
36,M,175.6,84.8,24.4,47.1,12.2,34,229
42,M,173.6,75.5,16.1,57,15.9,38,231
22,M,174,80.9,23.7,37,4.9,50,195
21,M,182.2,80.3,16.1,49.3,15.6,62,242
39,M,170.8,82.5,28.8,38.4,-3.5,32,182
44,M,173.5,67.7,11.1,37.4,11.1,45,210
49,M,179.3,75.8,15.7,43.8,14.2,41,220
22,M,165.3,61,15.7,38.3,18.1,44,219
38,M,169,72.9,22.9,41.4,8.8,50,226
27,M,183.1,85.5,27.1,47.7,6.9,53,223
21,F,160.6,47.96,27.7,20.7,19.9,42,162
56,M,169.8,64.78,22.3,38,7.9,32,183
25,M,169.9,78.2,16.9,57.9,23.2,61,242
28,M,175.6,72.6,14.3,46.8,28.8,56,251
64,M,165.2,77.9,29,38,15.2,26,139
26,F,165.1,56.2,29.1,24.3,13.9,34,164
43,M,169.5,67.9,15.6,43.1,16.4,35,226
62,M,171,64.9,16.5,38,9.4,39,197
21,M,186.5,73.2,14.6,43.6,16,42,237
42,M,171.1,78.3,22.2,50.4,16.2,44,232
22,F,162.3,52.9,20.7,26.4,22.6,52,202
22,F,166.3,56.2,23.3,26.2,20.6,46,174
53,F,155,52.5,26,17.4,14,36,150
25,F,166.1,54.5,29,25.2,22.4,42,168
22,M,167.7,66.5,23.1,34.9,0.7,34,211
26,F,175.6,62.8,22,34.5,19,28,165
49,M,178.9,81.9,20.4,51.4,19.5,38,217
45,M,174.7,90.3,26.1,35.7,-10.7,33,201
42,F,160,56.8,39.4,24.9,-4.1,40,137
27,M,170.7,72,14,54.9,20.6,59,237
46,F,155.1,62.5,37.7,24.7,21,24,124
22,F,151,67.6,40,30.4,21.1,50,160
26,M,171.1,60.3,19,45.3,17.1,53,215
21,F,161.7,59.7,31.2,29.5,22.8,15,181
53,M,169,67.8,18.9,37.6,7.3,40,194
58,F,163,57.9,25.3,28.2,23.5,33,140
24,M,174.5,71,21.8,38,9.6,42,220
21,M,180,82.5,17.5,48.8,7.7,58,155
56,F,158.3,55.8,35.8,23,23.6,20,146
56,F,152.2,64.3,36,19.1,17.7,20,92
62,M,164.8,78.8,25.6,50.1,10,28,169
25,M,168.2,58.4,15.4,46.8,7.2,34,190
37,F,156.6,50.3,23.4,21.6,18.5,29,133
46,M,165.6,69.58,24,44,17.8,33,200
29,M,174.3,84.3,22.9,51.6,8.1,56,223
29,M,173,73.8,19.9,47.9,12.6,53,253
24,F,155.4,53.7,28.8,26,24.1,47,191
31,M,175.8,71.3,18.1,31.4,15,45,198
64,M,171.6,55.5,11.9,28.4,9.8,21,183
47,F,159.8,47.7,26.3,26.3,13,32,161
53,M,173.1,73.5,21.9,41.7,5.5,39,198
26,M,183.4,77.8,8.7,54.1,18.8,55,253
23,M,171.1,64.8,14.8,38.2,12.3,55,241
21,M,175.4,68.1,17.8,41.3,22.4,47,226
28,M,179,80.6,10.7,49.6,17.7,57,247
45,M,173,65.54,11.9,59.1,22.7,47,239
46,F,159.7,49.3,27.2,19.3,28.2,31,172
30,M,166.8,70.3,17.8,54.2,19.2,60,234
58,M,170.6,73.6,25.9,30.2,14.2,35,176
22,M,167.2,64,18.5,35.2,14.5,57,200
37,M,173.5,80.6,19.8,54.2,21.9,50,260
37,M,166.2,75.6,14.8,47.3,17.5,49,246
32,M,165.7,76.6,26,44.3,13.4,49,199
33,M,183.1,75.3,20.7,31.3,2.5,35,194
25,M,182.5,71.1,15.6,51.2,18.6,42,224
24,M,175.3,72.3,15,33.4,23,45,240
24,M,183.1,77.6,16.5,48,10.5,51,231
27,M,170.4,66.1,15.9,47.1,29.1,53,238
29,F,168.8,51,23.2,30.1,22.8,43,167
63,F,157.4,48.2,17.5,25.4,28,27,157
49,M,170.4,75.9,25.7,33.8,3.5,30,187
27,M,171.7,77.3,15.1,48.4,24.3,59,255
27,M,164.7,59.1,30.5,26.8,24.1,41,151
26,M,170.7,71.84,22,45.5,18.9,54,242
51,F,160.4,60.7,35.2,24.7,16.4,4,123
26,M,176,72.4,17.4,49,19.6,75,242
37,M,162.5,57.7,12.8,38.6,15.5,59,221
23,M,177,80.8,17.2,54.2,8,51,235
60,M,168.1,60.1,9.9,42.2,16.4,32,222
61,M,158.6,64.3,23.9,33.2,8.5,25,167
63,F,159.9,61.3,35.3,20.1,19.1,19,118
21,F,154.4,54.2,32.9,30.2,16.4,43,117
60,M,167.6,68.1,27.7,40.5,-3.2,19,151
48,F,168.8,46.1,26,24,24.7,32,174
38,F,156.5,49.5,26.2,26.5,17.9,32,166
21,F,170.2,65.8,27.1,26.9,19.8,40,177
47,F,172,57.66,20.5,25.2,26.7,19,169
50,M,170.4,69.5,25.1,37.5,14.9,36,205
33,M,179.6,75.9,18.7,47,16.4,39,243
40,F,173.2,65.22,27.4,28.4,17.8,31,176
35,M,165.6,88.5,40.1,33.9,7.4,6,151
41,M,170.6,70.3,20.1,48.2,14.2,41,189
22,M,171.4,56.6,17,27.9,15,48,259
46,M,170.3,69.6,21.1,45.3,12.4,38,193
27,M,162.6,79.6,35.6,18.7,-3.6,17,101
50,F,159.4,61.3,31.3,27.7,18.3,15,136
32,M,183.8,96.2,23.6,61,7.6,51,204
35,F,159.9,56.5,22.5,45.5,24.1,26,159
31,M,177.2,101.1,32,45,9.5,42,213
40,M,169.8,86.4,30.4,49.2,2.9,27,191
24,F,154.4,49.52,32,22.9,20.4,35,178
33,M,181.7,81.2,21.7,54.4,15.5,43,226
31,M,171.5,61,16.8,33.3,21,51,218
26,F,159.2,51.98,31.5,24.2,24.5,29,148
23,F,157.1,57.7,33.7,29,33,33,153
22,F,155,51.5,23.6,31.7,16.8,32,136
21,M,177.3,69.9,13.3,32.3,7.7,49,215
30,M,177,74.8,21,45.1,5.7,55,214
21,F,159.9,53.5,27.9,24.2,18.7,36,154
21,F,166.8,57.9,27.2,29.7,16.5,57,179
50,F,164.8,60.2,23.6,24.7,20.4,13,146
21,M,182.4,76.1,22.2,39.1,19.5,46,226
39,M,183.2,98.76,27,48.8,9.9,33,205
46,F,166.8,64.5,20.3,28.7,12.7,18,161
22,M,166.5,67,22.2,37.8,17.2,63,237
34,M,171.7,81.1,24.1,40,10.3,38,236
61,F,153.8,52.3,28,27.7,17.4,18,124
58,M,163,57.5,9.963,39.5,22.9,48,180
47,M,167.1,74.6,22.2,44,12.7,46,192
59,F,157,50.7,36.4,25.9,18.9,20,155
25,M,171.4,69,18.3,40,10.9,50,239
24,F,177.4,62.7,23.4,30.8,21.5,49,213
59,F,159,58.4,32.8,24.8,25,12,127
29,M,178.9,83.1,13.8,52.9,21.2,55,254
22,M,178.4,86.8,24.4,44.7,-6.9,38,233
37,M,171.5,89.2,30.2,47.6,11.8,36,199
62,F,161.9,61.6,31.4,24.4,20.5,15,98
32,F,164.8,69.6,33.2,29.4,15.5,28,174
51,M,171.5,68.8,24.3,29.5,-2,20,175
41,M,179.7,72.2,18.6,46.8,14.9,45,245
23,M,172.3,80.2,23.3,55.2,21.6,54,219
52,F,152.8,46.2,20,24.5,27,29,165
24,F,167.6,71.9,29,42.6,24.5,44,178
22,M,175.8,69.66,13.3,44.8,18.7,52,262
25,F,161.6,45.4,27.9,24.3,21.3,60,179
39,F,158.5,53.6,26.4,21.3,25.9,31,171
28,M,175.4,60.6,13.5,44.4,17.5,53,227
21,M,179.6,89.4,13.5,57.9,29.4,59,270
63,M,163.2,56.8,22.5,31.7,9.4,30,178
62,F,157.2,50.4,26.7,29.4,19.8,18,159
64,M,169.8,66.9,21.1,36,15.6,34,175
29,M,173.9,75.1,16.1,55.3,16,47,245
62,F,152.5,60.1,34.9,23.1,17.7,13,127
29,M,171.4,75.88,27.3,39.7,23.8,45,201
30,M,172.5,67.4,12.7,45.8,16.6,54,255
22,M,171.2,67.1,13.6,52.1,16.2,72,275
61,F,153.8,50,27.3,24.7,13.8,23,125
23,M,185.7,108.9,29.2,46.6,6.2,35,208
54,F,159.1,64.22,36.9,24.6,19.8,5,133
61,F,154.4,52.3,31.7,23.2,18.2,18,133
60,F,157.7,60.3,33.8,19.3,18.3,22,110
63,F,154.5,64.5,44.5,25.6,16.7,12,108
40,F,158,53.8,25.8,28.6,17,29,170
54,M,167.1,64.6,19.1,37.5,14,46,201
27,M,179,72.52,11.4,50.9,15.9,53,252
39,M,176,67.9,18.1,41.7,5.5,35,237
52,F,161.8,69.3,49.3,23.9,0.1,21,101
22,F,159.9,59.8,23.5,33.5,22,46,188
25,M,176.6,70.8,8.8,36.3,17,55,248
40,M,178.9,73.8,11.5,45,13.4,34,194
29,M,174.3,75.5,9.4,43.4,20.8,60,256
43,M,161.8,68.4,24.3,41.8,13.5,46,197
26,F,166,66.1,26.7,32.7,14.1,44,172
26,F,164.9,59.5,25.6,32.9,16.7,44,198
32,F,157.6,49.44,22.3,32.4,15.5,40,125
24,M,177.3,70.8,18.8,38.6,7,56,196
55,F,154.7,54.9,33.3,18.3,23.5,19,139
32,M,183.9,87.6,29.3,46.6,10.4,36,201
44,M,173.8,76.6,19.9,34.9,10,42,214
54,F,153.4,62.6,31.9,27.7,18,26,164
26,M,176.5,70.3,22.3,44,27,45,206
63,F,158.4,76.4,39.8,20.2,28.5,10,105
43,F,153.2,51.7,27.2,26.7,15.6,31,160
61,F,150.7,50.2,27.5,22.9,19.6,8,122
52,M,178.1,76.5,21.1,52,15.4,38,200
25,M,172.9,69.7,19.4,45.7,14.3,31,211
27,F,165.8,64.1,32.3,27.6,21.7,52,172
26,M,178.5,81.2,13.9,48.7,17.5,49,234
21,F,171,64.26,24.7,24.5,14.9,44,186
28,M,175.5,80,14.1,50.1,19.2,57,254
21,M,169.7,69.7,22.1,32.4,19.4,57,231
61,F,154.3,41.4,23,25.8,23,21,123
21,M,167.4,74.9,16.4,44.9,21.6,63,252
21,F,163.3,54.1,24.3,28,30.8,47,199
27,M,182.3,83.2,18.1,41.9,11.3,47,237
21,M,174.9,70.3,20.6,45.8,8,45,210
27,F,166.5,58.5,19.7,31.4,22,32,150
32,F,162.7,54.7,28.5,24.8,12,34,146
22,F,155.1,59.9,29.5,30.5,21.8,54,177
48,F,157,59.3,37.7,18.8,15,2,134
58,F,160.6,55.8,28.6,20.3,20.3,25,147
32,M,172.8,77.3,20.7,46,22.6,47,229
62,M,172,65.2,19.7,32,2,38,187
56,M,168.6,73.8,25.7,43.7,16.9,51,213
60,M,171,77.3,19.7,46.2,22.2,33,193
31,F,168,58.9,27.4,28.7,21.1,36,175
28,M,180.6,70.3,19.3,42.6,12,45,240
24,M,181.4,88.8,17.5,45.8,7.2,44,247
27,M,174.3,66.2,8.7,42.1,16.3,67,256
36,M,174.5,76.8,25.4,38.6,6.2,51,219
63,M,168.4,61.5,19.2,35.9,14.6,26,163
23,M,173.3,90.4,29.4,34.2,3.6,43,179
51,M,169.4,72.6,23.7,38,15.7,36,189
24,F,164.1,49.38,19.1,28.5,21.1,46,171
25,F,157.6,59.8,32.6,27.2,19.1,51,170
22,F,167.9,53.9,22.9,36.9,22.9,47,190
41,F,156.3,52.7,31.2,20.7,26.8,40,149
22,M,176,79.6,25.5,51.7,19.3,56,277
40,F,166,58.5,25.8,31,22,33,156
36,M,173,73.9,16.9,50,21,60,240
59,M,175,70.6,19.2,40.6,12.2,30,179
32,M,175,65.5,17.9,42.2,18.3,52,245
64,M,167.7,73.8,29.7,39.5,6.4,30,185
41,M,168.3,63.3,14.7,45.3,17,44,215
26,M,180.6,80.1,7.9,57.3,21,51,261
23,F,160.6,58.3,29.3,33.4,20.9,39,175
63,F,153.5,58.16,38,23.1,-2.1,11,98
58,F,154.8,57.36,27.8,22.7,18.5,26,128
40,M,178.9,76.9,19.5,43,16.2,49,232
39,M,180.9,79.7,17.8,41.5,16.1,43,227
29,F,161.1,73.52,39.3,27.7,20.5,30,178
60,M,174.5,75.1,25.6,36.8,11.8,32,174
44,M,172.7,82.7,29.8,46.5,-11,30,215
30,F,166.3,55.2,24.2,27.2,19.1,47,173
57,F,153.5,52.9,30.1,21.5,20.6,31,124
46,F,162.3,60.3,28.1,17.6,17.4,21,142
54,M,160.4,57.1,15.7,45,24,55,208
21,F,160.3,48.7,26.7,27.3,18.8,32,175
25,M,176.3,80,29,44.1,-0.9,32,175
27,F,154.7,46.8,28.4,22.3,7.5,15,150
53,F,158.4,51.7,22.7,24.5,20.4,30,155
21,M,183.1,82.8,21.2,52.3,18.2,55,254
27,M,170.3,73.1,18.4,41.6,0.8,44,208
27,M,148,66.3,10.7,43.5,22,56,250
47,F,155.6,66.8,36.1,26.6,-1.3,18,143
35,M,182.2,82,25.9,50.8,-5,45,184
64,M,167.8,64.2,20,42.6,18.6,28,180
62,M,170.2,59.9,17.3,32.9,16.2,29,145
30,M,175.5,75.1,21.6,44.3,19.8,45,228
56,M,179.9,84.2,24.7,48.7,17.3,37,198
25,M,175.1,64.8,6.9,42,19.8,49,252
22,M,175,82.3,26.6,40.2,8.6,55,207
26,M,179.3,84.3,19.3,45.9,9.8,52,211
59,F,161.9,56.1,22.9,32.8,23.7,32,147
38,M,168.3,64.68,24.1,41.6,7.8,39,208
25,M,167,88,26.8,45.7,8.4,40,198
30,F,160.8,63.3,35.5,33.7,21.7,36,161
37,M,180.9,87,24.2,48.2,16.6,51,233
22,F,160.5,53.6,32.5,22.9,18,32,130
40,F,162.7,55.5,29,28.4,29.4,37,134
62,M,174.9,71.9,23.1,36.4,-15.1,20,162
51,M,165.9,59.9,16.7,35,18,41,181
56,F,164,71.4,37.7,26.7,24.1,16,102
62,F,150,50.7,39.3,20.4,17,14,123
50,F,158.5,66.7,30.5,24.7,14.8,15,142
31,F,159.1,45.5,22.2,18.6,18.3,37,151
57,M,173.7,67.7,19.4,40.7,16.3,36,220
23,M,177.8,61.7,12,41.9,11.3,44,227
28,M,178.3,73.5,12.7,37.4,16.9,55,258
44,F,165.8,62,24.6,28.3,14.8,21,142
31,F,169.6,51.3,19.4,29.1,14.2,29,176
21,M,163.8,61.18,22.1,39.4,12.2,46,200
24,M,172.2,65.8,13,36.7,18,46,233
22,F,166.8,63,25.7,30.5,24.7,45,188
27,M,182,83.9,17.8,56.1,14,56,240
33,F,169.2,67.3,31.2,25,19.6,40,155
23,M,169.7,71.68,29.7,37.5,22.2,30,198
36,M,180.8,79.3,19.6,55,21.4,50,227
47,M,165.1,60.9,14.8,43,20.4,47,200
43,F,158.4,50.9,25.4,22.4,16.4,31,143
52,M,153.5,48.9,24.8,24.7,-7.1,31,140
39,F,161.4,63.1,32.8,34.1,5.5,12,148
27,M,176.1,91.8,35,40.5,-17.3,32,181
46,M,171.2,60,15.3,42.9,13.5,49,188
45,M,175.1,71.7,19.7,46.6,14.8,41,206
30,F,164.4,52.7,19.9,27.1,29.3,42,183
21,M,168.3,72.7,20.1,48.1,13.1,44,218
46,M,164.4,63.6,23.4,36,42,42,210
31,F,161.4,53.8,26.3,24.5,22.7,58,148
22,F,163.5,60.4,34,22.4,10.6,38,173
35,F,160.2,57.2,30.1,27.5,21,44,150
27,M,165.5,59.3,12.2,40.9,16.1,39,229
29,M,176.4,66.2,20.4,44.1,6.2,43,211
28,M,173.9,73.74,15.7,48.7,9.1,48,234
60,F,153.2,50.8,27.7,14.3,21.7,23,119
25,F,153.4,51.1,23.9,27,23.9,39,179
25,M,163.1,64.4,11.7,41.1,23.7,60,260
31,F,161.5,63.9,25.5,30,31.4,39,177
21,M,174.4,55.4,11.8,33.5,13.8,39,210
36,M,174.3,79.9,21.1,51.6,3,50,180
58,F,154.9,59.4,32.3,19.4,14.6,13,120
54,M,175.2,71.6,23.5,43,15,31,183
21,M,176.8,67.78,13.1,30.9,21.8,60,230
42,M,168.9,69.9,23.2,48.7,15.8,33,225
25,F,168.8,62.1,22.5,28.8,23.8,41,196
24,F,168.1,55.1,27.2,26.1,22.5,28,157
23,F,159.1,69.88,32.3,27.9,20.1,41,169
51,M,182.7,73.4,14.6,45.2,16.7,47,228
50,M,156.7,56.1,20,37.1,21.2,55,208
23,M,179.1,68.4,18.9,42.9,7.1,46,217
32,M,171.1,75.2,22.4,48.9,16.6,54,238
31,M,166.8,66,27.1,32.7,2.1,32,183
24,F,167.2,70,35.3,23.3,-0.5,22,120
60,M,172.4,80.2,25.7,41.6,7.7,30,169
45,F,158.1,62.9,35.4,22.7,23.4,17,86
58,M,177.8,79.2,19.6,49,13,48,202
28,M,185.1,83,17.2,52.4,13.8,45,214
62,F,144.9,47.9,36.6,15.4,11.5,5,91
30,M,172.5,73,16.9,44.5,25.1,63,226
21,F,165.5,60.9,29.6,29.7,19.8,51,180
33,M,169.1,66.1,18.6,43.4,10.3,48,235
35,M,176.9,67.8,11.4,43.5,19.2,46,216
44,M,174.6,75,18.5,48,12,38,218
27,F,159.8,54.8,24.4,27.5,22.7,38,191
50,M,178.2,94.72,30.6,35.8,-5.9,30,184
50,M,166,66.2,23.5,40.6,17.3,47,202
36,F,168,54.1,25.2,19.6,14.7,22,154
27,M,169.5,56.52,16.6,35.3,-0.3,38,202
46,M,177.7,72.2,17.4,47.8,15.7,45,215
23,F,159.1,46.72,22.8,28.5,20.6,48,163
62,M,172.4,74.9,25.5,39.1,-4.7,10,141
21,F,156.1,52.5,31.9,18.4,20.2,39,182
21,M,178.5,69.3,14.3,40.8,18.1,54,232
41,M,172.9,72.4,21,48,-8.3,51,215
36,M,172.1,77,18,38.7,13.6,50,243
24,M,170.9,71.8,20.3,42.7,18.2,45,218
23,M,180.3,57.8,9.8,39.7,7.8,46,221
21,M,175.6,72.8,15.4,44.4,26.3,68,257
57,F,153.6,50.84,25.3,27.1,20.7,13,128
64,F,163.6,54.1,26.6,28.6,17.5,13,105
46,M,166.8,92,35.5,37.6,-6,31,155
23,F,162.7,54.4,26.9,31.5,24.4,48,140
54,F,163.6,61,33.4,23.2,13.1,19,116
26,M,173.3,77.4,17.3,52.1,21.8,58,261
35,F,156.8,55.3,24.4,29.7,10.5,40,194
28,M,174.4,86.3,17.8,49.4,6.8,45,220
55,M,172.4,68.5,18.4,46,18.5,28,192
45,M,165.9,70.3,22.1,49.9,19.4,58,230
62,F,156.5,61.3,40.2,27.5,18.5,11,119
25,M,173.7,77.5,14.4,49.8,20.3,56,258
53,M,175.9,84.66,24.7,45.7,8.9,25,185
